package,old,new,delta
WeibullR.plotly,0.1.5,0.2.0,*
askpass,NA,1.2.0,*
bslib,NA,0.5.1,*
cpp11,NA,0.4.6,*
curl,NA,5.1.0,*
digest,NA,0.6.33,*
dplyr,NA,1.1.3,*
evaluate,NA,0.22,*
fansi,NA,1.0.5,*
fontawesome,NA,0.5.2,*
fs,NA,1.6.3,*
ggplot2,NA,3.4.4,*
gtable,NA,0.3.4,*
htmltools,NA,0.5.6.1,*
httr,NA,1.4.7,*
jsonlite,NA,1.8.7,*
knitr,NA,1.44,*
labeling,NA,0.4.3,*
openssl,NA,2.1.1,*
promises,NA,1.2.1,*
purrr,NA,1.0.2,*
Rcpp,NA,1.0.11,*
RcppArmadillo,NA,0.12.6.4.0,*
rmarkdown,NA,2.25,*
sass,NA,0.4.7,*
tinytex,NA,0.48,*
vctrs,NA,0.6.4,*
withr,NA,2.5.1,*
xfun,NA,0.40,*
